Orig,OrigCode,Dest,DestCode,Total,WorksFromHome,Underground,Train,Bus,Taxi,CarDrive,CarPass,Motobike,Bicycle,Walk,Other
City of London,00AA,City of London,00AA,2059,432,120,53,50,31,39,0,3,18,1272,41
City of London,00AA,Barking and Dagenham,00AB,6,0,3,3,0,0,0,0,0,0,0,0
City of London,00AA,Barnet,00AC,14,0,11,0,0,0,0,0,0,0,3,0
City of London,00AA,Bexley,00AD,0,0,0,0,0,0,0,0,0,0,0,0
City of London,00AA,Brent,00AE,16,0,10,0,3,0,0,0,0,0,3,0
City of London,00AA,Bromley,00AF,0,0,0,0,0,0,0,0,0,0,0,0
City of London,00AA,Camden,00AG,335,0,104,10,28,0,22,6,0,15,150,0
City of London,00AA,Croydon,00AH,3,0,0,0,3,0,0,0,0,0,0,0
City of London,00AA,Ealing,00AJ,9,0,6,3,0,0,0,0,0,0,0,0
City of London,00AA,Enfield,00AK,6,0,0,0,0,0,3,0,0,0,3,0
City of London,00AA,Greenwich,00AL,3,0,3,0,0,0,0,0,0,0,0,0
City of London,00AA,Hackney,00AM,66,0,3,0,9,0,9,0,3,4,38,0
City of London,00AA,Hammersmith and Fulham,00AN,61,0,46,0,6,0,6,0,0,3,0,0
City of London,00AA,Haringey,00AP,16,0,6,0,0,0,7,0,0,0,3,0
City of London,00AA,Harrow,00AQ,7,0,7,0,0,0,0,0,0,0,0,0
City of London,00AA,Havering,00AR,9,0,0,6,0,0,3,0,0,0,0,0
City of London,00AA,Hillingdon,00AS,10,0,4,0,3,0,3,0,0,0,0,0
City of London,00AA,Hounslow,00AT,9,0,6,3,0,0,0,0,0,0,0,0
City of London,00AA,Islington,00AU,339,0,26,3,18,0,13,0,0,7,269,3
City of London,00AA,Kensington and Chelsea,00AW,62,0,46,7,0,0,3,0,3,0,3,0
City of London,00AA,Kingston upon Thames,00AX,0,0,0,0,0,0,0,0,0,0,0,0
City of London,00AA,Lambeth,00AY,42,0,20,0,3,0,7,0,3,0,9,0
City of London,00AA,Lewisham,00AZ,15,0,3,6,3,0,3,0,0,0,0,0
City of London,00AA,Merton,00BA,6,0,3,3,0,0,0,0,0,0,0,0
City of London,00AA,Newham,00BB,16,0,10,0,0,0,6,0,0,0,0,0
City of London,00AA,Redbridge,00BC,0,0,0,0,0,0,0,0,0,0,0,0
