Code,Area_name,GLA_Population_Estimate_2017,hh_med_income_estimates_2012_13,Number_of_jobs_by_workplace_2014
E09000001,City of London,8800,63620,500400
E09000002,Barking and Dagenham,209000,29420,58900
E09000003,Barnet,389600,40530,167300
E09000004,Bexley,244300,36990,80700
E09000005,Brent,332100,32140,133600
E09000006,Bromley,327900,43060,127800
E09000007,Camden,242500,43750,377400
E09000008,Croydon,386500,37000,141600
E09000009,Ealing,351600,36070,160500
E09000010,Enfield,333000,33110,128800
E09000011,Greenwich,280100,35350,94700
E09000012,Hackney,274300,35140,132800
E09000013,Hammersmith and Fulham,185300,43820,149500
E09000014,Haringey,278000,35420,91500
E09000015,Harrow,252300,38880,88600
E09000016,Havering,254300,36670,91300
E09000017,Hillingdon,301000,37040,220900
E09000018,Hounslow,274200,35330,165700
E09000019,Islington,231200,39790,231500
E09000020,Kensington and Chelsea,159000,55620,143500
E09000021,Kingston upon Thames,175400,43940,83700
E09000022,Lambeth,328900,38490,184000
E09000023,Lewisham,303400,35900,90000
E09000024,Merton,208100,41960,96800
E09000025,Newham,342900,28780,111100
E09000026,Redbridge,304200,36860,90700
E09000027,Richmond upon Thames,197300,53470,95900
E09000028,Southwark,314300,37100,285900
E09000029,Sutton,202600,39940,78600
E09000030,Tower Hamlets,304000,34930,280100
E09000031,Waltham Forest,276200,33080,84500
E09000032,Wandsworth,321000,47480,134100
E09000033,Westminster,242100,47510,730700
